id,text,character,conversation_id,reply_to
L593445,You owe the Don a service.  He has no doubt that you will repay it.,HAGEN,L593443,L593444
L593443,"This is Tom Hagen; I'm calling for Don Corleone, at his request.",HAGEN,L593443,
L593425,Yes.,HAGEN,L593422,L593424
L593423,Good.  He never doubted you.,HAGEN,L593422,L593422
L593421,"You owe the Don a service.  In one hour, not before, perhaps later, he will be at your funeral parlor to ask for your help.  Be there to greet him.  If you have any objections speak now, and I'll inform him.",HAGEN,L593420,L593420
L593432,"I want you to use all your powers, all your skill, as you love me.  I do not want his mother to see him as he is.",DON CORLEONE,L593431,L593431
L592864,"Some day, and that day may never come, I would like to call upon you to do me a service in return.",DON CORLEONE,L592861,L592863
L592862,Good.  From me you'll get Justice.,DON CORLEONE,L592861,L592861
L592860,"Then take the justice from the judge, the bitter with the sweet, Bonasera.  But if you come to me with your friendship, your loyalty, then your enemies become my enemies, and then, believe me, they would fear you...",DON CORLEONE,L592858,L592859
L592858,"You never think to protect yourself with real friends.  You think it's enough to be an American.  All right, the Police protects you, there are Courts of Law, so you don't need a friend like me. But now you come to me and say Don Corleone, you must give me justice. And you don't ask in respect or friendship.  And you don't think to call me Godfather; instead you come to my house on the day my daughter is to be married and you ask me to do murder...for money.",DON CORLEONE,L592858,
L592856,But your daughter is still alive.,DON CORLEONE,L592852,L592855
L592854,The Court gave you justice.,DON CORLEONE,L592852,L592853
L592852,No.  You ask for too much.,DON CORLEONE,L592852,
L592851,And what is that Bonasera?,DON CORLEONE,L592849,L592850
L592849,"Bonasera, we know each other for years, but this is the first time you come to me for help.  I don't remember the last time you invited me to your house for coffee...even though our wives are friends.",DON CORLEONE,L592849,
L593724,"Good, good.  Leave now; there's a car waiting to take you to the airport.",MICHAEL,L593722,L593723
L593722,"Don't be frightened.  Do you think I'd make my sister a widow?  Do you think I'd make your children fatherless?  After all, I'm Godfather to your son.  No, your punishment is that you're out of the family business.  I'm putting you on a plane to Vegas--and I want you to stay there.  I'll send Connie an allowance, that's all. But don't keep saying you're innocent; it insults my intelligence and makes me angry.  Who approached you, Tattaglia or Barzini?",MICHAEL,L593722,
