,id,text,character,conversation_id,reply_to,clean_text,tokenize,tokenize_lemmatized,final_text,prediction
224,L593678,"Christ, Tom; I needed more time with him.  I really needed him.",MICHAEL,L593678,,christ tom needed time needed,"['christ', 'tom', 'needed', 'time', 'needed']","['christ', 'tom', 'needed', 'time', 'needed']",christ tom needed time needed,fear
42,L593090,You heard about your father?,CLEMENZA,L593090,,heard father,"['heard', 'father']","['heard', 'father']",heard father,fear
285,L592894,They're waiting to see my father.,MICHAEL,L592893,L592893,theyre waiting father,"['theyre', 'waiting', 'father']","['theyre', 'waiting', 'father']",theyre waiting father,joy
302,L593284,Cut it out.,MICHAEL,L593283,L593283,cut,['cut'],['cut'],cut,fear
56,L592872,"What are you, a dance judge?  Go do your job; take a walk around the neighborhood... see everything is okay.",CLEMENZA,L592871,L592871,dance judge job walk neighborhood okay,"['dance', 'judge', 'job', 'walk', 'neighborhood', 'okay']","['dance', 'judge', 'job', 'walk', 'neighborhood', 'okay']",dance judge job walk neighborhood okay,fear
272,L592923,I told you you wouldn't like him.,MICHAEL,L592922,L592922,told wouldnt like,"['told', 'wouldnt', 'like']","['told', 'wouldnt', 'like']",told wouldnt like,fear
15,L593724,"Good, good.  Leave now; there's a car waiting to take you to the airport.",MICHAEL,L593722,L593723,good good leave theres car waiting airport,"['good', 'good', 'leave', 'theres', 'car', 'waiting', 'airport']","['good', 'good', 'leave', 'there', 'car', 'waiting', 'airport']",good good leave there car waiting airport,joy
57,L593024,No.,DON CORLEONE,L593022,L593023,,[],[],,fear
248,L593244,Goodbye.,MICHAEL,L593243,L593243,goodbye,['goodbye'],['goodbye'],goodbye,joy
124,L593541,Have you thought about a wife?  A family?,DON CORLEONE,L593541,,thought wife family,"['thought', 'wife', 'family']","['thought', 'wife', 'family']",thought wife family,joy
82,L593029,What is this nonsense?,DON CORLEONE,L593029,,nonsense,['nonsense'],['nonsense'],nonsense,fear
353,L593581,Is my credit good enough to buy you out?,MICHAEL,L593578,L593580,credit good buy,"['credit', 'good', 'buy']","['credit', 'good', 'buy']",credit good buy,joy
210,L593365,"Nobody knows where he is.  We know he's all right, but that's all.",HAGEN,L593363,L593364,knows know hes right thats,"['knows', 'know', 'hes', 'right', 'thats']","['know', 'know', 'he', 'right', 'thats']",know know he right thats,anger
338,L593698,I do wish to be baptized.,MICHAEL,L593697,L593697,wish baptized,"['wish', 'baptized']","['wish', 'baptized']",wish baptized,anger
119,L593546,"I could accept everything that's happened; I could accept it, but that I never had a choice.  From the time I was born, you had laid this all out for me.",MICHAEL,L593541,L593545,accept thats happened accept choice time born laid,"['accept', 'thats', 'happened', 'accept', 'choice', 'time', 'born', 'laid']","['accept', 'thats', 'happened', 'accept', 'choice', 'time', 'born', 'laid']",accept thats happened accept choice time born laid,fear
126,L592990,I'm going to finish school.,MICHAEL,L592983,L592989,im going finish school,"['im', 'going', 'finish', 'school']","['im', 'going', 'finish', 'school']",im going finish school,sadness
203,L593159,The cops have it locked in and I got my people there visiting Pop all the time.  What about the hit list.,SONNY,L593158,L593158,cops locked got people visiting pop time hit list,"['cops', 'locked', 'got', 'people', 'visiting', 'pop', 'time', 'hit', 'list']","['cop', 'locked', 'got', 'people', 'visiting', 'pop', 'time', 'hit', 'list']",cop locked got people visiting pop time hit list,anger
300,L593300,"We can't wait.  No matter what Sollozzo say about a deal, he's figuring out how to kill Pop.  You have to get Sollozzo now.",MICHAEL,L593300,,cant wait matter sollozzo deal hes figuring kill pop sollozzo,"['cant', 'wait', 'matter', 'sollozzo', 'deal', 'hes', 'figuring', 'kill', 'pop', 'sollozzo']","['cant', 'wait', 'matter', 'sollozzo', 'deal', 'he', 'figuring', 'kill', 'pop', 'sollozzo']",cant wait matter sollozzo deal he figuring kill pop sollozzo,anger
139,L593526,What is it?,MICHAEL,L593522,L593525,,[],[],,fear
355,L593083,Find out anything you can...you got a Grand coming.,SONNY,L593077,L593082,find canyou got grand coming,"['find', 'canyou', 'got', 'grand', 'coming']","['find', 'canyou', 'got', 'grand', 'coming']",find canyou got grand coming,joy
140,L593524,Is that why there are more men on the walls?,MICHAEL,L593522,L593523,men walls,"['men', 'walls']","['men', 'wall']",men wall,joy
222,L593680,Not all...I needed another four months and I would have had them all.  I guess you've figured it all out?,MICHAEL,L593678,L593679,alli needed months guess youve figured,"['alli', 'needed', 'months', 'guess', 'youve', 'figured']","['alli', 'needed', 'month', 'guess', 'youve', 'figured']",alli needed month guess youve figured,fear
323,L593144,"Clemenza?  No, I don't believe it.",MICHAEL,L593144,,clemenza dont believe,"['clemenza', 'dont', 'believe']","['clemenza', 'dont', 'believe']",clemenza dont believe,anger
33,L593099,"No, just you and Paulie.",SONNY,L593090,L593098,paulie,['paulie'],['paulie'],paulie,fear
297,L593305,"They want me to go to the conference with Sollozzo.  Set up the meeting for two days from now.  Sonny, get our informers to find out where the meeting will be held. Insist it has to be a public place: a bar or restaurant at the height of the dinner hour.  So I'll feel safe.  They'll check me when I meet them so I won't be able to carry a weapon; but Clemenza, figure out a way to have one planted there for me.  Then I'll kill them both.",MICHAEL,L593304,L593304,want conference sollozzo set meeting days sonny informers find meeting held insist public place bar restaurant height dinner hour ill feel safe theyll check meet wont able carry weapon clemenza figure way planted ill kill,"['want', 'conference', 'sollozzo', 'set', 'meeting', 'days', 'sonny', 'informers', 'find', 'meeting', 'held', 'insist', 'public', 'place', 'bar', 'restaurant', 'height', 'dinner', 'hour', 'ill', 'feel', 'safe', 'theyll', 'check', 'meet', 'wont', 'able', 'carry', 'weapon', 'clemenza', 'figure', 'way', 'planted', 'ill', 'kill']","['want', 'conference', 'sollozzo', 'set', 'meeting', 'day', 'sonny', 'informer', 'find', 'meeting', 'held', 'insist', 'public', 'place', 'bar', 'restaurant', 'height', 'dinner', 'hour', 'ill', 'feel', 'safe', 'theyll', 'check', 'meet', 'wont', 'able', 'carry', 'weapon', 'clemenza', 'figure', 'way', 'planted', 'ill', 'kill']",want conference sollozzo set meeting day sonny informer find meeting held insist public place bar restaurant height dinner hour ill feel safe theyll check meet wont able carry weapon clemenza figure way planted ill kill,joy
220,L593682,I know now.  I'll make them call me Don.,MICHAEL,L593678,L593681,know ill,"['know', 'ill']","['know', 'ill']",know ill,joy
147,L593464,Calo and Fabrizzio are with me; nothing will happen.,MICHAEL,L593462,L593463,calo fabrizzio happen,"['calo', 'fabrizzio', 'happen']","['calo', 'fabrizzio', 'happen']",calo fabrizzio happen,anger
324,L593143,One of them fingered the old man.,SONNY,L593141,L593142,fingered old man,"['fingered', 'old', 'man']","['fingered', 'old', 'man']",fingered old man,fear
25,L593324,"I want somebody very good, very safe to plant that gun.  I don't want my brother coming out of that toilet with just his dick in his hand.",SONNY,L593324,,want somebody good safe plant gun dont want brother coming toilet dick hand,"['want', 'somebody', 'good', 'safe', 'plant', 'gun', 'dont', 'want', 'brother', 'coming', 'toilet', 'dick', 'hand']","['want', 'somebody', 'good', 'safe', 'plant', 'gun', 'dont', 'want', 'brother', 'coming', 'toilet', 'dick', 'hand']",want somebody good safe plant gun dont want brother coming toilet dick hand,anger
73,L593458,You mean Tattaglia.,HAGEN,L593456,L593457,mean tattaglia,"['mean', 'tattaglia']","['mean', 'tattaglia']",mean tattaglia,anger
267,L592953,He's my father's godson; he owes him his whole career.,MICHAEL,L592950,L592952,hes fathers godson owes career,"['hes', 'fathers', 'godson', 'owes', 'career']","['he', 'father', 'godson', 'owes', 'career']",he father godson owes career,joy
